"","Year","Month","Day","Hour","Temperature","Pressure","Sky_Cover","Wind_Speed","Rainfall"
"291",2022,1,13,3,"14.6",1018.5,8,1.3,0
"292",2022,1,13,4,"16.1",1017.9,8,0,0
"293",2022,1,13,5,"14.0",1018.3,8,2.7,0
"294",2022,1,13,6,"14.4",1018.4,8,3.2,0
"295",2022,1,13,7,"14.4",1018.9,9,3.9,0
"296",2022,1,13,8,"14.5",1020,9,2.2,0
"297",2022,1,13,9,"15.7",1020.5,9,2.3,0
"298",2022,1,13,10,"16.1",1020.8,10,0,0
"299",2022,1,13,11,"17.9",1019.7,10,3.4,0
"300",2022,1,13,12,"18.4",1018.4,10,2,0
"301",2022,1,13,13,"18.8",1017.9,10,1.5,0
"302",2022,1,13,14,"18.5",1016.8,10,1.6,0
"303",2022,1,13,15,"19.7",1016,10,2.8,0
"304",2022,1,13,16,"17.2",1015.9,10,4.1,0
"305",2022,1,13,17,"16.7",1016.6,9,4.1,0
"306",2022,1,13,18,"16.6",1017.3,9,3.9,0
"307",2022,1,13,19,"16.1",1017.2,9,2.3,0
"308",2022,1,13,20,"16.2",1017.3,8,0.4,0
"309",2022,1,13,21,"16.5",1017.4,8,3.2,0
"310",2022,1,13,22,"15.0",1017.9,8,3.6,0
"311",2022,1,13,23,"16.0",1017.1,8,0.3,0
"312",2022,1,13,24,"14.9",1017,8,2.3,0
"313",2022,1,14,1,"14.4",1016.1,8,0,0
"314",2022,1,14,2,"14.4",1015.8,8,0.2,0
"315",2022,1,14,3,"14.3",1015.9,8,1.3,0
"316",2022,1,14,4,"14.0",1015.6,8,0,0
"317",2022,1,14,5,"12.3",1015.5,8,0,0
"318",2022,1,14,6,"12.9",1015.7,8,0,0
"319",2022,1,14,7,"13.4",1015.8,8,0.2,0
"320",2022,1,14,8,"14.3",1015.6,8,1.3,0
"321",2022,1,14,9,"17.3",1015.9,8,0.3,0
"322",2022,1,14,10,"18.3",1016,8,2.6,0
"323",2022,1,14,11,"20.5",1016.2,8,1.8,0
"324",2022,1,14,12,"19.4",1015.9,8,4,0
"325",2022,1,14,13,"19.6",1015.1,8,3,0
"326",2022,1,14,14,"21.1",1014.6,8,2.3,0
"327",2022,1,14,15,"20.6",1014.7,8,3.7,0
"328",2022,1,14,16,"16.7",1015.2,8,4.6,0
"329",2022,1,14,17,"15.7",1015.3,6,4.7,0
"330",2022,1,14,18,"16.0",1015.2,5,1.9,0
"331",2022,1,14,19,"15.7",1015.5,5,0,0
"332",2022,1,14,20,"16.0",1015.6,5,0.2,0
"333",2022,1,14,21,"15.2",1015.7,5,1.9,0
"334",2022,1,14,22,"16.7",1015.7,5,0,0
"335",2022,1,14,23,"16.5",1015.6,0,1.3,0
"336",2022,1,14,24,"15.0",1015.8,5,0,0
"337",2022,1,15,1,"14.9",1015.7,5,0.2,0
"338",2022,1,15,2,"14.0",1015.9,6,1.9,0
"339",2022,1,15,3,"14.4",1016.2,7,0,0
"340",2022,1,15,4,"14.4",1016.9,8,0,0
"341",2022,1,15,5,"14.6",1015.8,8,0,0
"342",2022,1,15,6,"16.2",1016.2,8,0,0
"343",2022,1,15,7,"16.9",1017.2,8,0.7,0
"344",2022,1,15,8,"14.4",1018.6,8,5.6,0
"345",2022,1,15,9,"14.5",1019.5,8,4.4,0
"346",2022,1,15,10,"15.6",1019.2,8,3.1,0
"347",2022,1,15,11,"16.3",1018.9,8,0,0
"348",2022,1,15,12,"18.0",1017.7,8,0.3,0
"349",2022,1,15,13,"19.5",1016.5,9,2.5,0
"350",2022,1,15,14,"20.1",1016,9,1.5,0
"351",2022,1,15,15,"20.9",1015.8,9,1.6,0
"352",2022,1,15,16,"19.4",1016.1,10,2.6,3
"353",2022,1,15,17,"17.2",1016.6,10,2.5,0
"354",2022,1,15,18,"17.5",1016.3,10,5.6,0
"355",2022,1,15,19,"19.2",1016.5,10,4.5,0
"356",2022,1,15,20,"17.7",1016.6,10,4,0
"357",2022,1,15,21,"17.3",1016.6,10,3.5,0
"358",2022,1,15,22,"17.8",1016.4,10,3.1,0
"359",2022,1,15,23,"18.2",1016.2,9,2.5,0
"360",2022,1,15,24,"17.6",1015.6,9,2.1,0
"361",2022,1,16,1,"16.2",1014.7,9,2.3,0
"362",2022,1,16,2,"17.1",1015.4,8,3.4,0
"363",2022,1,16,3,"16.8",1014.9,8,2,0
"364",2022,1,16,4,"17.8",1014.1,8,1.5,0
"365",2022,1,16,5,"17.0",1014.1,7,1.3,0
"366",2022,1,16,6,"15.7",1014.1,6,0.2,0
"367",2022,1,16,7,"16.7",1014.4,6,1.5,0
"368",2022,1,16,8,"17.0",1014.7,5,1.3,0
"369",2022,1,16,9,"19.5",1015.1,5,0.4,0
"370",2022,1,16,10,"20.0",1015.4,8,3.1,0
"371",2022,1,16,11,"21.4",1015,7,2.5,0
"372",2022,1,16,12,"23.2",1014,6,1.9,0
"373",2022,1,16,13,"22.5",1013.4,6,4.6,0
"374",2022,1,16,14,"20.5",1013.2,5,4.5,0
"375",2022,1,16,15,"19.9",1012.9,5,4.2,0
"376",2022,1,16,16,"19.4",1012.8,5,4.6,0
"377",2022,1,16,17,"18.2",1013.3,5,3,0
"378",2022,1,16,18,"17.7",1013.4,6,2.5,0
"379",2022,1,16,19,"17.3",1013.6,6,1.3,0
"380",2022,1,16,20,"17.8",1013.7,7,0.3,0
"381",2022,1,16,21,"17.7",1013.8,7,2.3,0
"382",2022,1,16,22,"17.2",1013.9,8,0,0
"383",2022,1,16,23,"17.1",1014,8,1.7,0
"384",2022,1,16,24,"16.6",1014,8,3,0
"385",2022,1,17,1,"16.1",1013.5,8,2.5,0
"386",2022,1,17,2,"16.0",1013.2,8,2.2,0
"387",2022,1,17,3,"15.6",1013.3,8,3,0
"388",2022,1,17,4,"15.6",1013.1,8,2.1,0
"389",2022,1,17,5,"15.6",1013.2,8,2.2,18
"390",2022,1,17,6,"15.4",1013.5,8,2.5,0
"391",2022,1,17,7,"15.0",1014.3,9,2.7,0
"392",2022,1,17,8,"15.1",1014.7,9,3.3,0
"393",2022,1,17,9,"15.7",1015.4,9,4.6,0
"394",2022,1,17,10,"16.1",1015.7,10,4.6,0
"395",2022,1,17,11,"17.2",1015.5,9,3.2,0
"396",2022,1,17,12,"17.3",1014.9,9,2.6,0
"397",2022,1,17,13,"18.2",1014.7,9,2.7,0
"398",2022,1,17,14,"17.8",1013.5,8,3,0
"399",2022,1,17,15,"17.7",1013.5,8,2,0
"400",2022,1,17,16,"17.2",1013.2,8,1.5,0
"401",2022,1,17,17,"17.2",1013.2,8,0.3,0
"402",2022,1,17,18,"17.1",1013.4,8,2.5,0
"403",2022,1,17,19,"16.6",1014,9,2.2,0
"404",2022,1,17,20,"15.5",1014.4,9,3.1,0
"405",2022,1,17,21,"15.0",1014.6,9,3,0
"406",2022,1,17,22,"15.0",1014.7,10,2.1,2
"407",2022,1,17,23,"15.6",1014.3,10,2,0
"408",2022,1,17,24,"15.5",1013.9,10,1.3,0
"409",2022,1,18,1,"15.1",1013.9,10,0,0
"410",2022,1,18,2,"15.5",1014.1,10,0.2,0
"411",2022,1,18,3,"15.0",1013.8,10,1.6,0
"412",2022,1,18,4,"15.0",1013.6,10,2.6,0
"413",2022,1,18,5,"14.9",1013.6,9,0.2,0
"414",2022,1,18,6,"14.5",1013.9,9,1.9,0
"415",2022,1,18,7,"15.0",1014.4,9,0.2,0
"416",2022,1,18,8,"15.0",1015,8,1.8,0
"417",2022,1,18,9,"15.3",1015.3,8,0.9,0
"418",2022,1,18,10,"15.6",1015.8,8,3.1,0
"419",2022,1,18,11,"15.8",1015.4,6,3.6,0
"420",2022,1,18,12,"17.1",1014.6,5,3.7,0
"421",2022,1,18,13,"16.7",1014.3,5,4.7,0
"422",2022,1,18,14,"16.6",1014,4,5.6,0
"423",2022,1,18,15,"16.0",1014.2,3,5.2,0
"424",2022,1,18,16,"15.6",1014.3,3,5.7,0
"425",2022,1,18,17,"15.0",1014.4,3,4,0
"426",2022,1,18,18,"14.9",1014.8,3,3.2,0
"427",2022,1,18,19,"14.3",1015.3,3,3.5,0
"428",2022,1,18,20,"13.9",1015.9,3,3.2,0
"429",2022,1,18,21,"13.9",1016.4,3,3.5,0
"430",2022,1,18,22,"13.9",1016.5,5,3.1,0
"431",2022,1,18,23,"13.9",1016.7,5,2.5,0
"432",2022,1,18,24,"13.8",1016.3,5,2.5,0
